id,name,text_path,audio_path,narrator,duration,author,text_url,audio_url,duration_hour,sample_rate,quality,word_count,num_sentences
fd737238,hachiko---chu-cho-đoi-cho,,,"{'id': '079f652d', 'name': 'Huỳnh Hữu Thiên Ân', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/huynh-huu-thien-an', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",1.8181,Luis Prats,https://thuviensachpdf.com/hachiko-chu-cho-doi-cho,https://sachnoiviet.net/sach-noi/hachiko-chu-cho-doi-cho,,,,,
515a35e2,tu-noi-tam-huong-ra-ben-ngoai,,,"{'id': 'd3a81d3f', 'name': 'Bình Minh', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/binh-minh', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",2.76,Dadi Janki,https://thuviensachpdf.com/tu-noi-tam-huong-ra-ben-ngoai,https://sachnoiviet.net/sach-noi/tu-noi-tam-huong-ra-ben-ngoai,,,,,
001ff79e,viec-lang,,,"{'id': '9f63f104', 'name': 'Mạc Duy Thắng', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/mac-duy-thang', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",2.8556,Ngô Tất Tố,https://thuviensachpdf.com/viec-lang,https://sachnoiviet.net/sach-noi/viec-lang,,,,,
e877be9c,nguoi-me-cam-sung,,,"{'id': '1a158dbe', 'name': 'Trần Ngọc San', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/tran-ngoc-san', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",1.8083,Nguyễn Thi,https://thuviensachpdf.com/nguoi-me-cam-sung,https://sachnoiviet.net/sach-noi/nguoi-me-cam-sung,,,,,
553c702f,chuyen-con-oc-sen-muon-biet-tai-sao-no-cham-chap,,,"{'id': 'd014578b', 'name': 'Unknown', 'dialect': None, 'gender': None, 'age': None, 'url': 'Unknown', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",1.3036,Luis Sepúlveda,https://thuviensachpdf.com/chuyen-con-oc-sen-muon-biet-tai-sao-no-cham-chap,https://sachnoiviet.net/sach-noi/chuyen-con-oc-sen-muon-biet-tai-sao-no-cham-chap,,,,,
68f6c3e0,nguoi-ban-hang-vi-đai-nhat-the-gioi,,,"{'id': 'a43131f9', 'name': 'Lê Vương', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/le-vuong', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",2.4672,Og Mandino,https://thuviensachpdf.com/nguoi-ban-hang-vi-dai-nhat-the-gioi,https://sachnoiviet.net/sach-noi/nguoi-ban-hang-vi-dai-nhat-the-gioi,,,,,
259e28ef,đoan-mat-vu-cua-ngo-đinh-can,,,"{'id': 'ce28bb33', 'name': 'Quang Dũng', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/quang-dung', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",2.3361,Văn Phan,https://thuviensachpdf.com/doan-mat-vu-cua-ngo-dinh-can,https://sachnoiviet.net/sach-noi/doan-mat-vu-cua-ngo-dinh-can,,,,,
ee2fb842,suc-manh-cua-tri-tue-tam-linh,,,"{'id': 'b2f5f7cb', 'name': 'Huỳnh Hữu Thiên Ân', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/huynh-huu-thien-an', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",2.8439,Tony Buzan,https://thuviensachpdf.com/suc-manh-cua-tri-tue-tam-linh,https://sachnoiviet.net/sach-noi/suc-manh-cua-tri-tue-tam-linh,,,,,
8f91e2eb,toi-la-beto,,,"{'id': '86eea1b9', 'name': 'Bình Nguyên', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/binh-nguyen', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",1.9536,Nguyễn Nhật Ánh,https://thuviensachpdf.com/toi-la-beto,https://sachnoiviet.net/sach-noi/toi-la-beto,,,,,
ae2cf5c8,nhat-stuart,,,"{'id': 'ec7ec8e6', 'name': 'Tiểu Thư Thỏ', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/tieu-thu-tho', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",1.8944,E. B. White,https://thuviensachpdf.com/nhat-stuart,https://sachnoiviet.net/sach-noi/nhat-stuart,,,,,
