id,name,text_path,audio_path,narrator,duration,author,text_url,audio_url,duration_hour,sample_rate,quality,word_count,num_sentences
d509ee13,ivanhoe,,,"{'id': '24eefff0', 'name': 'Ngô Hồng', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/ngo-hong', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",20.0233,Sir Walter Scott,https://thuviensachpdf.com/ivanhoe,https://sachnoiviet.net/sach-noi/ivanhoe,,,,,
1238a90d,ai-vao-đia-nguc?,,,"{'id': 'eae35a7e', 'name': 'Thanh Cúc', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/thanh-cuc', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",3.1058,Nguyên Minh,https://thuviensachpdf.com/ai-vao-dia-nguc,https://sachnoiviet.net/sach-noi/ai-vao-dia-nguc,,,,,
a980dca5,hang-đong-cua-cac-lat-ma,,,"{'id': '4109046b', 'name': 'Hướng Dương', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/huong-duong', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",9.9728,Lobsang Rampa,https://thuviensachpdf.com/hang-dong-cua-cac-lat-ma,https://sachnoiviet.net/sach-noi/hang-dong-cua-cac-lat-ma,,,,,
6eb87c9f,loan-mat-nhung,,,"{'id': '2c8df802', 'name': 'Hồng Nhung', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/hong-nhung', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",18.0425,Nguyễn Thụy Long,https://thuviensachpdf.com/loan-mat-nhung,https://sachnoiviet.net/sach-noi/loan-mat-nhung,,,,,
a860b1b9,con-mua-đinh-menh,,,"{'id': '72a3af44', 'name': 'Thanh Mai', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/thanh-mai', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",15.1964,Thanhthanh,https://thuviensachpdf.com/con-mua-dinh-menh,https://sachnoiviet.net/sach-noi/con-mua-dinh-menh,,,,,
632a780b,dich-hoc-tinh-hoa,,,"{'id': '0f71d5f3', 'name': 'Lê Như Quỳnh', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/le-nhu-quynh', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",5.7903,Nguyễn Duy Cần,https://thuviensachpdf.com/dich-hoc-tinh-hoa,https://sachnoiviet.net/sach-noi/dich-hoc-tinh-hoa,,,,,
2f27dc11,giai-phap-đot-pha,,,"{'id': 'a2e19c44', 'name': 'Trần Huỳnh Phương Trang', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/tran-huy-phuong-trang', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",10.0567,Jay Abraham,https://thuviensachpdf.com/giai-phap-dot-pha,https://sachnoiviet.net/sach-noi/giai-phap-dot-pha,,,,,
f3e2c728,ba-chua-hon,,,"{'id': 'e2af6a1e', 'name': 'Kim Phượng', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/kim-phuong', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",9.1989,Sơn Nam,https://thuviensachpdf.com/ba-chua-hon,https://sachnoiviet.net/sach-noi/ba-chua-hon,,,,,
aa0a40ea,nghe-thuat-lay-long-khach-hang,,,"{'id': 'f090dae6', 'name': 'Bà Già Đọc Sách', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/ba-gia-doc-sach', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",5.0614,Michael J. Meher,https://thuviensachpdf.com/nghe-thuat-lay-long-khach-hang,https://sachnoiviet.net/sach-noi/nghe-thuat-lay-long-khach-hang,,,,,
b741d26c,nhung-xac-chet-cam-lang,,,"{'id': 'b46125c0', 'name': 'Lê Duyên', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/le-duyen', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",6.6858,James Hadley Chase,https://thuviensachpdf.com/nhung-xac-chet-cam-lang,https://sachnoiviet.net/sach-noi/nhung-xac-chet-cam-lang,,,,,
efcb3eaf,nguoi-la-cuoc-tu-hanh-đep-nhat-kiep-nay-cua-toi,,,"{'id': '45677f56', 'name': 'Mộc', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/moc', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",7.2767,Bạch Lạc Mai,https://thuviensachpdf.com/nguoi-la-cuoc-tu-hanh-dep-nhat-kiep-nay-cua-toi,https://sachnoiviet.net/sach-noi/nguoi-la-cuoc-tu-hanh-dep-nhat-kiep-nay-cua-toi,,,,,
58c3adf5,khong-gioi-han---kham-pha-ho’oponopono,,,"{'id': '5543431b', 'name': 'Kim Quỳnh', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/kim-quynh', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",3.4508,Joe Vitale,https://thuviensachpdf.com/khong-gioi-han-kham-pha-hooponopono,https://sachnoiviet.net/sach-noi/khong-gioi-han-kham-pha-hooponopono,,,,,
